location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
BUM-1,58.478530,-119.436690,,,Visible,t,,220830, 2022-02-24 19:28:47
BUM-2,58.473170,-119.436620,,,Visible,t,,220832, 2022-02-24 19:34:32
BUM-3,58.472650,-119.433080,,,Visible,t,,220834, 2022-02-24 19:44:21
BUM-4,58.472610,-119.425570,,,Visible,t,,220835, 2022-02-24 19:44:21
BUM-5,58.469290,-119.436640,,,Visible,t,,220843, 2022-02-24 20:12:27
BUM-6,58.462870,-119.436750,,,Visible,t,,220838, 2022-02-24 20:11:39
BUM-7,58.457560,-119.436710,,,Visible,t,,220839, 2022-02-24 20:11:56
BUM-8,58.453160,-119.436870,,,Visible,t,,220840, 2022-02-24 20:12:00
BUM-9,58.449080,-119.436980,,,Visible,t,,220842, 2022-02-24 20:12:23
BUM-10,58.445060,-119.436780,,,Visible,t,,220837, 2022-02-24 20:11:34
BUM-11,58.441580,-119.437820,,,Visible,t,,220961, 2022-02-24 20:57:30
BUM-12,58.421660,-119.481250,,,Visible,t,,220942, 2022-02-24 20:54:27
BUM-13,58.414630,-119.492310,,,Visible,t,,220965, 2022-02-24 20:58:03
BUM-14,58.407040,-119.493290,,,Visible,t,,220941, 2022-02-24 20:54:21
BUM-15,58.398140,-119.494110,,,Visible,t,,220937, 2022-02-24 20:53:53
BUM-16,58.389720,-119.494880,,,Visible,t,,220939, 2022-02-24 20:54:06
BUM-17,58.384850,-119.495310,,,Visible,t,,220959, 2022-02-24 20:57:15
BUM-18,58.376900,-119.495470,,,Visible,t,,220950, 2022-02-24 20:55:56
BUM-19,58.371070,-119.494550,,,Visible,t,,220967, 2022-02-24 20:58:10
BUM-20,58.365030,-119.493160,,,Visible,t,,220964, 2022-02-24 20:58:02
BUM-21,58.358720,-119.492250,,,Visible,t,,220957, 2022-02-24 20:57:06
BUM-22,58.352640,-119.498290,,,Visible,t,,220954, 2022-02-24 20:56:39
BUM-23,49.451380,-114.412250,,,Visible,t,,221026, 2022-02-24 21:55:52
BUM-24,49.454500,-114.409240,,,Visible,t,,221028, 2022-02-24 21:55:53
BUM-25,49.456070,-114.405790,,,Visible,t,,221027, 2022-02-24 21:55:52
BUM-26,49.449010,-114.413210,,,Visible,t,,221029, 2022-02-24 22:37:09
BUM-27,49.366340,-114.324010,,,Visible,t,,221030, 2022-02-24 22:47:31
BUM-28,49.363830,-114.323000,,,Visible,t,,221031, 2022-02-25 02:03:12
BUM-29,49.361830,-114.320535,,,Visible,t,,221033, 2022-02-25 02:19:06
BUM-30,49.354440,-114.324250,,,Visible,t,,221034, 2022-02-25 02:19:07
BUM-31,49.351630,-114.325190,,,Visible,t,,221032, 2022-02-25 02:18:42
BUM-32,49.456692,-114.401650,,,Visible,t,,221035, 2022-02-25 02:38:04
BUM-33,49.457420,-114.397400,,,Visible,t,,221039, 2022-02-25 02:39:40
BUM-34,49.458090,-114.392870,,,Visible,t,,221036, 2022-02-25 02:38:08
BUM-35,49.458460,-114.388880,,,Visible,t,,221037, 2022-02-25 02:38:12
BUM-36,49.445340,-114.414280,,,Visible,t,,221038, 2022-02-25 02:38:13
BUM-37,49.359730,-114.318280,,,Visible,t,,221141, 2022-02-25 16:29:19
BUM-38,49.357040,-114.321470,,,Visible,t,,221138, 2022-02-25 16:28:30
BUM-39,49.348560,-114.325880,,,Visible,t,,221139, 2022-02-25 16:28:43
BUM-40,49.345620,-114.326950,,,Visible,t,,221136, 2022-02-25 16:28:04
BUM-41,49.343210,-114.327990,,,Visible,t,,221132, 2022-02-25 16:25:33
BUM-42,49.341410,-114.330960,,,Visible,t,,221140, 2022-02-25 16:29:11
BUM-43,49.366850,-114.303300,,,Visible,t,,221142, 2022-02-25 16:29:38
BUM-44,49.466433,-114.348230,,,Visible,t,,221143, 2022-02-25 16:29:40
BUM-45,49.468260,-114.344870,,,Visible,t,,221134, 2022-02-25 16:25:52
BUM-46,49.469090,-114.340131,,,Visible,t,,221135, 2022-02-25 16:26:27
BUM-47,49.469380,-114.335050,,,Visible,t,,221133, 2022-02-25 16:25:51
BUM-48,49.500090,-114.397700,,,Visible,t,,221137, 2022-02-25 16:28:16
BUM-49,49.998210,-114.509640,,,Visible,t,,221147, 2022-02-25 18:45:45
BUM-50,49.988673,-114.494179,,,Visible,t,,221148, 2022-02-25 18:46:16
BUM-51,49.981360,-114.481290,,,Visible,t,,221152, 2022-02-25 18:47:22
BUM-52,49.978808,-114.477521,,,Visible,t,,221145, 2022-02-25 18:45:18
BUM-53,49.975870,-114.474510,,,Visible,t,,221144, 2022-02-25 18:45:15
BUM-54,49.974060,-114.471400,,,Visible,t,,221149, 2022-02-25 18:46:34
BUM-55,49.969010,-114.466430,,,Visible,t,,221150, 2022-02-25 18:46:40
BUM-56,49.966120,-114.464180,,,Visible,t,,221154, 2022-02-25 18:47:46
BUM-57,50.014220,-114.528770,,,Visible,t,,221146, 2022-02-25 18:45:26
BUM-58,49.963240,-114.462250,,,Visible,t,,221151, 2022-02-25 18:46:44
BUM-59,50.016480,-114.529770,,,Visible,t,,221153, 2022-02-25 18:47:41
BUM-60,49.961110,-114.459500,,,Visible,t,,221155, 2022-02-25 18:47:48
BUM-61,49.958880,-114.455780,,,Visible,t,,221171, 2022-02-25 19:42:33
BUM-62,50.020750,-114.534150,,,Visible,t,,221158, 2022-02-25 19:38:38
BUM-63,49.953960,-114.450740,,,Visible,t,,221169, 2022-02-25 19:42:27
BUM-64,49.952100,-114.448220,,,Visible,t,,221162, 2022-02-25 19:39:52
BUM-65,49.948740,-114.442610,,,Visible,t,,221157, 2022-02-25 19:38:34
BUM-66,49.949818,-114.440247,,,Visible,t,,221166, 2022-02-25 19:41:05
BUM-67,49.948850,-114.434430,,,Visible,t,,221167, 2022-02-25 19:41:07
BUM-68,49.913737,-114.492440,,,Visible,t,,221159, 2022-02-25 19:38:41
BUM-69,49.916840,-114.490610,,,Visible,t,,221161, 2022-02-25 19:39:44
BUM-70,49.919190,-114.491200,,,Visible,t,,221168, 2022-02-25 19:41:49
BUM-71,49.911420,-114.505110,,,Visible,t,,221160, 2022-02-25 19:39:34
