location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
BMS-FMO-6-8,,,,,Visible,t,,455761, 2023-01-20 19:53:58
BMS-NEW-2-1,,,,,Visible,t,,475039, 2023-03-23 15:09:04
BMS-NEW-2-2,,,,,Visible,t,,456541, 2023-01-28 14:28:07
BMS-NEW-2-3,,,,,Visible,t,,456530, 2023-01-28 14:16:20
BMS-NEW-2-4,,,,,Visible,t,,456542, 2023-01-28 14:29:11
BMS-NEW-2-5,,,,,Visible,t,,456547, 2023-01-28 14:33:53
BMS-NEW-2-6,,,,,Visible,t,,456186, 2023-01-27 13:49:51
BMS-NEW-2-7,,,,,Visible,t,,456185, 2023-01-27 13:49:34
BMS-NEW-2-8,,,,,Visible,t,,456180, 2023-01-27 13:42:37
BMS-NEW-2-9,,,,,Visible,t,,456192, 2023-01-27 13:54:10
BMS-FMO-6-17,,,,,Visible,t,,455762, 2023-01-20 22:21:39
BMS-FMO-6-18,,,,,Visible,t,,455763, 2023-01-20 22:22:48
BMS-FMO-6-19,,,,,Visible,t,,455765, 2023-01-20 22:22:54
BMS-FMO-6-20,,,,,Visible,t,,455766, 2023-01-20 22:23:35
BMS-FMO-6-21,,,,,Visible,t,,456874, 2023-01-30 18:41:57
BMS-FMO-6-22,,,,,Visible,t,,456878, 2023-01-30 18:43:22
BMS-FMO-6-23,,,,,Visible,t,,455764, 2023-01-20 22:22:49
BMS-FMO-6-24,,,,,Visible,t,,456876, 2023-01-30 18:42:12
BMS-FMO-6-25,,,,,Visible,t,,456875, 2023-01-30 18:42:11
BMS-FMO-6-C1,,,,,Visible,t,,456877, 2023-01-30 18:42:20
BMS-MMO-62-1,,,,,Visible,t,,456058, 2023-01-27 04:39:42
BMS-MMO-62-4,,,,,Visible,t,,456051, 2023-01-27 04:34:35
BMS-MMO-62-5,,,,,Visible,t,,456048, 2023-01-27 04:30:07
BMS-MMO-62-6,,,,,Visible,t,,456056, 2023-01-27 04:38:39
BMS-MMO-62-7,,,,,Visible,t,,456047, 2023-01-27 04:30:06
BMS-MMO-62-8,,,,,Visible,t,,456050, 2023-01-27 04:34:28
BMS-MMO-62-9,,,,,Visible,t,,456046, 2023-01-27 04:30:06
BMS-MMO-65-3,,,,,Visible,t,,456082, 2023-01-27 05:54:48
BMS-MMO-65-4,,,,,Visible,t,,456060, 2023-01-27 05:30:17
BMS-MMO-65-6,,,,,Visible,t,,456094, 2023-01-27 06:08:22
BMS-MMO-65-7,,,,,Visible,t,,456085, 2023-01-27 05:59:05
BMS-MMO-82-1,,,,,Visible,t,,455952, 2023-01-26 09:05:28
BMS-MMO-82-2,,,,,Visible,t,,455948, 2023-01-26 09:01:26
BMS-MMO-82-3,,,,,Visible,t,,455949, 2023-01-26 09:01:37
BMS-MMO-82-4,,,,,Visible,t,,455953, 2023-01-26 09:05:34
BMS-MMO-82-5,,,,,Visible,t,,455947, 2023-01-26 09:01:21
BMS-MMO-82-6,,,,,Visible,t,,455954, 2023-01-26 09:05:40
BMS-MMO-82-7,,,,,Visible,t,,455950, 2023-01-26 09:01:46
BMS-MMO-82-8,,,,,Visible,t,,455955, 2023-01-26 16:38:39
BMS-MMO-88-5,,,,,Visible,t,,455957, 2023-01-26 17:23:27
BMS-MMO-88-7,,,,,Visible,t,,455966, 2023-01-26 17:54:05
BMS-MMO-88-8,,,,,Visible,t,,455963, 2023-01-26 17:26:58
BMS-MMO-88-9,,,,,Visible,t,,455961, 2023-01-26 17:25:59
BMS-MRP-14-7,,,,,Visible,t,,455973, 2023-01-26 18:15:44
BMS-MRP-14-8,,,,,Visible,t,,455972, 2023-01-26 18:15:43
BMS-MRP-14-9,,,,,Visible,t,,455971, 2023-01-26 18:15:40
BMS-MRP-17-8,,,,,Visible,t,,456333, 2023-01-27 23:05:37
BMS-MRP-17-9,,,,,Visible,t,,456321, 2023-01-27 22:52:06
BMS-MRP-19-6,,,,,Visible,t,,456358, 2023-01-28 00:09:35
BMS-MRP-19-7,,,,,Visible,t,,456351, 2023-01-28 00:02:56
BMS-MRP-19-8,,,,,Visible,t,,456338, 2023-01-27 23:49:15
BMS-MRP-19-9,,,,,Visible,t,,456345, 2023-01-27 23:55:08
BMS-MRP-20-1,,,,,Visible,t,,456348, 2023-01-27 23:59:10
BMS-MRP-20-2,,,,,Visible,t,,456888, 2023-01-30 19:11:48
BMS-MRP-20-3,,,,,Visible,t,,475041, 2023-03-23 15:09:33
BMS-MRP-20-4,,,,,Visible,t,,456341, 2023-01-27 23:49:45
BMS-MRP-20-5,,,,,Visible,t,,456355, 2023-01-28 00:06:50
BMS-MRP-20-6,,,,,Visible,t,,456339, 2023-01-27 23:49:26
BMS-MRP-20-7,,,,,Visible,t,,456097, 2023-01-27 06:10:17
BMS-MRP-20-8,,,,,Visible,t,,456076, 2023-01-27 05:48:35
BMS-MRP-21-2,,,,,Visible,t,,456990, 2023-01-31 16:58:47
BMS-MRP-21-3,,,,,Visible,t,,457001, 2023-01-31 18:14:01
BMS-MRP-21-5,,,,,Visible,t,,456980, 2023-01-31 16:50:12
BMS-MRP-21-6,,,,,Visible,t,,456994, 2023-01-31 17:02:58
BMS-MRP-21-8,,,,,Visible,t,,456986, 2023-01-31 16:54:35
BMS-MRP-21-9,,,,,Visible,t,,456987, 2023-01-31 16:54:44
BMS-MRP-22-9,,,,,Visible,t,,456306, 2023-01-27 21:21:54
BMS-NEW-2-13,,,,,Visible,t,,456532, 2023-01-28 14:19:58
BMS-NEW-2-16,,,,,Visible,t,,456187, 2023-01-27 13:49:57
BMS-NEW-2-17,,,,,Visible,t,,456184, 2023-01-27 13:46:33
BMS-NRA-32-1,,,,,Visible,t,,475040, 2023-03-23 15:09:28
BMS-NRA-32-2,,,,,Visible,t,,456179, 2023-01-27 13:42:03
BMS-NRA-32-3,,,,,Visible,t,,456190, 2023-01-27 13:53:45
BMS-NRA-32-4,,,,,Visible,t,,475042, 2023-03-23 15:10:43
BMS-NRA-32-5,,,,,Visible,t,,475044, 2023-03-23 15:30:28
BMS-NRA-32-6,,,,,Visible,t,,456183, 2023-01-27 13:45:58
BMS-NRA-32-7,,,,,Visible,t,,456188, 2023-01-27 13:50:21
BMS-NRA-32-8,,,,,Visible,t,,456189, 2023-01-27 13:53:36
BMS-NRA-32-9,,,,,Visible,t,,456177, 2023-01-27 13:41:17
BMS-NRA-36-1,,,,,Visible,t,,456528, 2023-01-28 14:15:50
BMS-NRA-36-2,,,,,Visible,t,,456529, 2023-01-28 14:16:10
BMS-NRA-36-3,,,,,Visible,t,,456181, 2023-01-27 13:45:43
BMS-NRA-36-4,,,,,Visible,t,,456546, 2023-01-28 14:33:03
BMS-NRA-36-5,,,,,Visible,t,,475045, 2023-03-23 15:30:42
BMS-NRA-36-6,,,,,Visible,t,,456538, 2023-01-28 14:25:00
BMS-NRA-36-9,,,,,Visible,t,,456178, 2023-01-27 13:41:21
BMS-NRA-47-2,,,,,Visible,t,,457002, 2023-01-31 18:14:06
BMS-NRA-47-5,,,,,Visible,t,,456999, 2023-01-31 18:13:59
BMS-NRA-47-6,,,,,Visible,t,,456971, 2023-01-31 15:51:27
BMS-NRA-51-8,,,,,Visible,t,,456000, 2023-01-27 01:55:06
BMS-PRP-62-8,,,,,Visible,t,,456944, 2023-01-30 23:23:00
BMS-PRP-63-1,,,,,Visible,t,,456313, 2023-01-27 21:42:38
BMS-PRP-63-2,,,,,Visible,t,,475052, 2023-03-23 15:54:22
BMS-PRP-63-4,,,,,Visible,t,,456298, 2023-01-27 20:51:40
BMS-PRP-63-5,,,,,Visible,t,,456026, 2023-01-27 02:50:58
BMS-PRP-63-7,,,,,Visible,t,,475054, 2023-03-23 16:10:32
BMS-PRP-63-8,,,,,Visible,t,,475055, 2023-03-23 16:10:54
BMS-PRP-63-9,,,,,Visible,t,,475063, 2023-03-23 19:05:02
BMS-PRP-71-3,,,,,Visible,t,,456884, 2023-01-30 18:57:31
BMS-PRP-71-4,,,,,Visible,t,,456594, 2023-01-28 19:11:55
BMS-PRP-71-5,,,,,Visible,t,,456607, 2023-01-28 19:24:20
BMS-PRP-71-6,,,,,Visible,t,,456608, 2023-01-28 19:24:35
BMS-PRP-80-1,,,,,Visible,t,,456603, 2023-01-28 19:20:13
BMS-PRP-80-2,,,,,Visible,t,,456596, 2023-01-28 19:12:15
BMS-PRP-80-3,,,,,Visible,t,,456701, 2023-01-29 21:39:56
BMS-PRP-80-4,,,,,Visible,t,,456602, 2023-01-28 19:20:02
BMS-PRP-80-5,,,,,Visible,t,,456598, 2023-01-28 19:16:10
BMS-PRP-83-1,,,,,Visible,t,,456600, 2023-01-28 19:16:15
BMS-PRP-83-2,,,,,Visible,t,,456604, 2023-01-28 19:20:22
BMS-PRP-83-3,,,,,Visible,t,,456208, 2023-01-27 15:04:58
BMS-PRP-83-4,,,,,Visible,t,,456599, 2023-01-28 19:16:12
BMS-PRP-83-5,,,,,Visible,t,,456203, 2023-01-27 15:01:02
BMS-PRP-83-6,,,,,Visible,t,,456209, 2023-01-27 15:05:03
BMS-PRP-83-7,,,,,Visible,t,,475067, 2023-03-23 19:25:16
BMS-PRP-87-1,,,,,Visible,t,,475068, 2023-03-23 19:42:25
BMS-PRP-87-2,,,,,Visible,t,,456037, 2023-01-27 02:59:40
BMS-PRP-87-3,,,,,Visible,t,,456034, 2023-01-27 02:58:54
BMS-PRP-87-4,,,,,Visible,t,,456028, 2023-01-27 02:51:21
BMS-PRP-87-5,,,,,Visible,t,,456031, 2023-01-27 02:55:28
BMS-PRP-87-6,,,,,Visible,t,,456032, 2023-01-27 02:55:34
BMS-PRP-87-8,,,,,Visible,t,,456948, 2023-01-30 23:24:13
BMS-PRP-87-9,,,,,Visible,t,,456932, 2023-01-30 23:10:49
BMS-GBP-70-17,,,,,Visible,t,,455934, 2023-01-26 04:38:34
BMS-GBP-70-18,,,,,Visible,t,,455767, 2023-01-21 16:14:20
BMS-GBP-70-19,,,,,Visible,t,,455935, 2023-01-26 04:38:38
BMS-GBP-70-20,,,,,Visible,t,,455770, 2023-01-21 16:15:02
BMS-GBP-70-21,,,,,Visible,t,,474966, 2023-03-22 17:48:12
BMS-GBP-70-22,,,,,Visible,t,,455769, 2023-01-21 16:15:01
BMS-GBP-70-23,,,,,Visible,t,,455933, 2023-01-26 04:38:33
BMS-GBP-70-24,,,,,Visible,t,,474977, 2023-03-22 20:04:21
BMS-GBP-70-25,,,,,Visible,t,,455768, 2023-01-21 16:14:37
BMS-GBP-70-26,,,,,Visible,t,,457036, 2023-01-31 21:47:13
BMS-GBP-70-27,,,,,Visible,t,,457031, 2023-01-31 21:42:03
BMS-GBP-70-28,,,,,Visible,t,,457033, 2023-01-31 21:42:34
BMS-GBP-70-29,,,,,Visible,t,,457034, 2023-01-31 21:45:42
BMS-GBP-70-30,,,,,Visible,t,,457028, 2023-01-31 21:38:05
BMS-GBP-70-D1,,,,,Visible,t,,457032, 2023-01-31 21:42:32
BMS-GBP-70-D2,,,,,Visible,t,,457029, 2023-01-31 21:38:16
BMS-GBP-70-D3,,,,,Visible,t,,457030, 2023-01-31 21:38:37
BMS-GBP-70-D4,,,,,Visible,t,,457035, 2023-01-31 21:46:07
BMS-GBP-97-12,,,,,Visible,t,,456042, 2023-01-27 03:06:04
