location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
15UXQ10-2,48.767566,-91.408719,,,Visible,t,,451094, 2023-01-17 20:39:27
15UXQ10-3,48.802448,-91.476159,,,Visible,t,,451096, 2023-01-17 20:39:32
15UXQ10-4,48.757088,-91.475409,,,Visible,t,,451092, 2023-01-17 20:39:22
15UXQ10-6,48.784678,-91.429742,,,Visible,t,,451093, 2023-01-17 20:39:25
15UXQ10-7,48.797896,-91.492542,,,Visible,t,,451095, 2023-01-17 20:39:30
15UXQ10-9,48.764753,-91.372813,,,Visible,t,,451091, 2023-01-17 20:39:20
15UXQ27-1,49.449688,-91.317582,,,Visible,t,,451144, 2023-01-17 21:53:50
15UXQ27-2,49.450876,-91.242577,,,Visible,t,,451138, 2023-01-17 21:53:27
15UXQ27-3,49.381717,-91.322467,,,Visible,t,,451140, 2023-01-17 21:53:34
15UXQ27-4,49.444672,-91.320292,,,Visible,t,,451142, 2023-01-17 21:53:43
15UXQ27-5,49.448515,-91.252996,,,Visible,t,,451136, 2023-01-17 21:53:20
15UXQ27-6,49.453982,-91.315296,,,Visible,t,,451137, 2023-01-17 21:53:23
15UXQ27-7,49.450747,-91.270453,,,Visible,t,,451135, 2023-01-17 21:53:18
15UXQ27-8,49.401257,-91.284543,,,Visible,t,,451141, 2023-01-17 21:53:39
15UXQ27-9,49.422284,-91.285492,,,Visible,t,,451143, 2023-01-17 21:53:46
15UXR12-4,49.889334,-91.460365,,,Visible,t,,451165, 2023-01-17 23:41:26
15UXR12-6,49.860578,-91.376055,,,Visible,t,,451160, 2023-01-17 23:41:13
15UXR12-8,49.843118,-91.351089,,,Visible,t,,451161, 2023-01-17 23:41:15
15UXR12-9,49.860111,-91.349954,,,Visible,t,,451163, 2023-01-17 23:41:20
15UXR21-1,49.754911,-91.312278,,,Visible,t,,451196, 2023-01-18 04:01:48
15UXR21-2,49.810159,-91.272633,,,Visible,t,,451188, 2023-01-18 04:01:19
15UXR21-3,49.764615,-91.233717,,,Visible,t,,451192, 2023-01-18 04:01:31
15UXR21-4,49.764543,-91.249717,,,Visible,t,,451194, 2023-01-18 04:01:38
15UXR21-5,49.763366,-91.256939,,,Visible,t,,451193, 2023-01-18 04:01:34
15UXR21-6,49.754911,-91.312278,,,Visible,t,,451195, 2023-01-18 04:01:45
15UXR21-7,49.757488,-91.288043,,,Visible,t,,451190, 2023-01-18 04:01:25
15UXR21-8,49.764075,-91.240791,,,Visible,t,,451197, 2023-01-18 04:01:56
15UXR21-9,49.756390,-91.280070,,,Visible,t,,451191, 2023-01-18 04:01:28
