location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
17TMM52,,,,,Visible,t,,91380, 2021-09-22 13:58:22
17TMM53,,,,,Visible,t,,91403, 2021-09-23 15:05:56
17TMM55,46.504730,-81.525725,,,Visible,t,,90610, 2021-09-15 22:40:19
17TMM63,,,,,Visible,t,,91399, 2021-09-22 22:53:40
17TMM64,,,,,Visible,t,,91397, 2021-09-22 22:25:13
17TMM73,46.328502,-81.354140,,,Visible,t,,90581, 2021-09-15 22:40:18
17TMM80,,,,,Visible,t,,91396, 2021-09-22 22:10:55
17TMM97,,,,,Visible,t,,91406, 2021-09-23 15:47:53
17TNM32,,,,,Visible,t,,91405, 2021-09-23 15:16:15
17TNM34,,,,,Visible,t,,91382, 2021-09-22 14:02:22
17TNM55,46.538166,-80.306376,,,Visible,t,,90470, 2021-09-15 22:40:16
15UVS24-1,50.975174,-94.108436,,,Visible,t,,91355, 2021-09-16 21:32:27
15UVS24-2,50.968168,-94.085567,,,Visible,t,,91357, 2021-09-16 21:32:27
15UVS24-3,50.961331,-94.066341,,,Visible,t,,91206, 2021-09-16 13:19:18
15UVS24-4,50.989261,-94.128705,,,Visible,t,,91354, 2021-09-16 21:32:27
15UVS24-5,50.964125,-94.081329,,,Visible,t,,91205, 2021-09-16 13:19:18
15UVS24-6,50.966072,-94.048221,,,Visible,t,,91204, 2021-09-16 13:19:18
15UVS24-7,50.960101,-94.076864,,,Visible,t,,91352, 2021-09-16 21:32:27
15UVS24-8,50.985572,-94.124256,,,Visible,t,,91353, 2021-09-16 21:32:27
15UVS24-9,50.971746,-94.102970,,,Visible,t,,91351, 2021-09-16 21:32:27
15UVS25-1,51.062536,-94.105055,,,Visible,t,,91349, 2021-09-16 21:32:27
15UVS25-2,51.065174,-94.098953,,,Visible,t,,91339, 2021-09-16 21:32:26
15UVS25-3,51.068877,-94.093403,,,Visible,t,,91342, 2021-09-16 21:32:26
15UVS25-4,51.066718,-94.086801,,,Visible,t,,91340, 2021-09-16 21:32:26
15UVS25-5,51.065768,-94.078615,,,Visible,t,,91337, 2021-09-16 21:32:26
15UVS25-6,51.060836,-94.073206,,,Visible,t,,91338, 2021-09-16 21:32:26
15UVS25-7,51.058118,-94.066565,,,Visible,t,,91336, 2021-09-16 21:32:26
15UVS25-8,51.055511,-94.059528,,,Visible,t,,91334, 2021-09-16 21:32:26
15UVS25-9,51.053472,-94.051348,,,Visible,t,,91335, 2021-09-16 21:32:26
15UWR75-2,50.151733,-92.796742,,,Visible,t,,237691, 2022-04-22 16:45:51
15UWR75-3,,,,,Visible,t,,92298, 2021-09-28 16:02:29
15UWR75-5,,,,,Visible,t,,92307, 2021-09-28 16:03:16
